titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Volvo Xc-90 2024|autos|camionetas-suv|Volvo|Xc-90|2024|US$ 72,990|"Gasolina-Híbrido|Automática
Kilometraje:
7,117 Kms
Lima, Lima
VEHICULO DE EXHIBICION"|Gasolina-Híbrido|Automática||7117.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/volvo-xc-90-2024-1837983|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Toyota Raize 2025|autos|camionetas-suv|Toyota|Raize|2025|US$ 17,990|"Gasolina|Automática - Secuencial
Kilometraje:
53 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|53.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/toyota-raize-2025-1852251|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Hyundai Tucson 2024|autos|camionetas-suv|Hyundai|Tucson|2024|US$ 35,990|"Gasolina-Híbrido|Automática
Kilometraje:
30,931 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina-Híbrido|Automática||30931.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/hyundai-tucson-2024-1852387|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Dongfeng T5 Evo 2022|autos|camionetas-suv|Dongfeng|T5 Evo|2022|US$ 16,900|"Gasolina|Automática
Kilometraje:
23,272 Kms
Lima, Lima"|Gasolina|Automática||23272.0|Lima, Lima|[]|https://neoauto.com/auto/seminuevo/dongfeng-t5-evo-2022-1851263|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Hyundai Santa Fe 2025|autos|camionetas-suv|Hyundai|Santa Fe|2025|US$ 45,990|"Gasolina|Automática - Secuencial
Kilometraje:
10,199 Kms
Lima, Lima
VEHICULO DE EXHIBICION"|Gasolina|Automática|Secuencial|10199.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/hyundai-santa-fe-2025-1839080|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Audi Q5 2019|autos|camionetas-suv|Audi|Q5|2019|US$ 34,900|"Gasolina|Automática - Secuencial
Kilometraje:
55,900 Kms
Lima, Lima
AUDI Q5 ATTRACTION 45 TFSI QUATTRO - 2019"|Gasolina|Automática|Secuencial|55900.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/audi-q5-2019-1836876|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Porsche Macan 2024|autos|camionetas-suv|Porsche|Macan|2024|US$ 72,900|"Gasolina|Automática - Secuencial
Kilometraje:
26,000 Kms
Lima, Lima
Camioneta En Excelente Estado"|Gasolina|Automática|Secuencial|26000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/porsche-macan-2024-1853919|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Porsche Cayenne 2016|autos|camionetas-suv|Porsche|Cayenne|2016|US$ 29,900|"Gasolina|Automática
Kilometraje:
84,200 Kms
Lima, Lima"|Gasolina|Automática||84200.0|Lima, Lima|[]|https://neoauto.com/auto/seminuevo/porsche-cayenne-2016-1843683|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Audi Q3 2015|autos|camionetas-suv|Audi|Q3|2015|US$ 15,900|"Gasolina|Automática
Kilometraje:
116,000 Kms
Lima, Lima"|Gasolina|Automática||116000.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/audi-q3-2015-1853961|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
Jeep Grand Cherokee Laredo 2015|autos|camionetas-suv|Jeep|Grand Cherokee Laredo|2015|US$ 26,500|"Diesel|Automática - Secuencial
Kilometraje:
115,849 Kms
Lima, Lima
JEEP GRAND CHEROKEE LAREDO DIESEL 2015"|Diesel|Automática|Secuencial|115849.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/jeep-grand-cherokee-laredo-2015-1793582|usados|https://neoauto.com/venta-de-autos-usados--camionetas-suv?page=1
