titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Bmw X6 30d 2016|autos|camionetas-suv|BMW|X6 30d|2016|US$ 55,000|"Diesel|Automática - Secuencial
Kilometraje:
44,626 Kms
Lima, Lima
BMW X6 M 30D XDRIVE"|Diesel|Automática|Secuencial|44626|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/bmw-x6-30d-2016-1851383|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Land Rover Range Rover Evoque 2016|autos|camionetas-suv|Land Rover|Range Rover Evoque|2016|US$ 24,900|"Gasolina|Automática
Kilometraje:
79,108 Kms
Lima, Lima"|Gasolina|Automática||79108|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/land-rover-range-rover-evoque-2016-1840476|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Bmw X3 2021|autos|camionetas-suv|BMW|X3|2021|US$ 34,200|"Gasolina|Automática
Kilometraje:
55,000 Kms
Lima, Lima
SDrive 20i, ASIENTOS DE CUERO, CAMARA Y SENSORES DE RETRO"|Gasolina|Automática||55000|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/bmw-x3-2021-1851433|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Porsche Macan 2024|autos|camionetas-suv|Porsche|Macan|2024|US$ 72,900|"Gasolina|Automática - Secuencial
Kilometraje:
26,000 Kms
Lima, Lima
Camioneta En Excelente Estado"|Gasolina|Automática|Secuencial|26000|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/porsche-macan-2024-1853919|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Toyota Rav4 2022|autos|camionetas-suv|Toyota|Rav4|2022|US$ 33,000|"Híbrido|Automática - Secuencial
Kilometraje:
83,968 Kms
Lima, Lima
TOYOTA RAV4 HYBRID 2.5 PREMIUM 4X2 CVT"|Híbrido|Automática|Secuencial|83968|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/toyota-rav4-2022-1845323|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Volvo Xc-40 2023|autos|camionetas-suv|Volvo|Xc-40|2023|US$ 34,990|"Gasolina-Híbrido|Automática
Kilometraje:
24,906 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina-Híbrido|Automática||24906|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/volvo-xc-40-2023-1851654|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Land Rover Range Rover Sport 2020|autos|camionetas-suv|Land Rover|Range Rover Sport|2020|US$ 100,000|"Gasolina|Automática - Secuencial
Kilometraje:
23,000 Kms
Lima, Lima
Camioneta En Excelente Estado"|Gasolina|Automática|Secuencial|23000|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/land-rover-range-rover-sport-2020-1838557|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Bmw X5 40i 2020|autos|camionetas-suv|BMW|X5 40i|2020|US$ 63,900|"Gasolina|Automática - Secuencial
Kilometraje:
21,441 Kms
Lima, Lima
BMW X5 40I XDRIVE 2020 - JC UGARTE"|Gasolina|Automática|Secuencial|21441|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/bmw-x5-40i-2020-1759956|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Hyundai Kona Hev 2024|autos|camionetas-suv|Hyundai|Kona Hev|2024|US$ 26,990|"Gasolina-Híbrido|Automática
Kilometraje:
10,800 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina-Híbrido|Automática||10800|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/hyundai-kona-hev-2024-1851376|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
Mercedes Benz Gle 400 4matic 2017|autos|camionetas-suv|Mercedes Benz|Gle 400 4matic|2017|US$ 22,500|"Gasolina|Automática
Kilometraje:
102,400 Kms
Lima, Lima
Lujo, Potencia Y Elegancia: ¡Tu Próxima Mercedes Te Espera!"|Gasolina|Automática||102400|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/mercedes-benz-gle-400-4matic-2017-1843946|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=1
