titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Audi A3 Sedan 2024|autos|sedan|Audi|A3 Sedan|2024|US$ 30,990|"Gasolina|Automática - Secuencial
Kilometraje:
10,500 Kms
Lima, Lima
DEMO De Audi"|Gasolina|Automática|Secuencial|10500.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/audi-a3-sedan-2024-1846140|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Audi A3 Sedan 2017|autos|sedan|Audi|A3 Sedan|2017|US$ 17,900|"Gasolina|Automática
Kilometraje:
92,700 Kms
Lima, Lima
AUDI A3"|Gasolina|Automática||92700.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/audi-a3-sedan-2017-1851465|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Audi A4 2018|autos|sedan|Audi|A4|2018|US$ 19,300|"Gasolina|Automática - Secuencial
Kilometraje:
53,000 Kms
Lima, Lima
A4 2018: Elegancia Deportiva Con Tecnología Premium"|Gasolina|Automática|Secuencial|53000.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/audi-a4-2018-1842503|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Nissan Versa 2014|autos|sedan|Nissan|Versa|2014|US$ 8,990|"Gasolina|Mecánica
Kilometraje:
98,445 Kms
Lima, Lima
NISSAN VERSA SENSE 2014"|Gasolina|Mecánica||98445.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/nissan-versa-2014-1854100|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Mercedes Benz C63 Amg S 2015|autos|sedan|Mercedes Benz|C63 Amg S|2015|US$ 47,500|"Gasolina|Automática - Secuencial
Kilometraje:
23,000 Kms
Lima, Lima
Auto En Execlente Estado"|Gasolina|Automática|Secuencial|23000.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/mercedes-benz-c63-amg-s-2015-1846431|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Bmw 220i 2015|autos|sedan|BMW|220i|2015|US$ 19,500|"Gasolina|Automática - Secuencial
Kilometraje:
69,069 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|69069.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/bmw-220i-2015-1855951|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Hyundai Grand I10 2024|autos|sedan|Hyundai|Grand I10|2024|US$ 10,900|"Dual|Mecánica
Kilometraje:
44,000 Kms
Lima, Lima
SEDÁN - DUAL GLP - MECÁNICO"|Dual|Mecánica||44000.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/hyundai-grand-i10-2024-1857980|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Audi A3 Sedan 2024|autos|sedan|Audi|A3 Sedan|2024|US$ 30,990|"Gasolina|Automática - Secuencial
Kilometraje:
11,000 Kms
Lima, Lima
DEMO De Audi"|Gasolina|Automática|Secuencial|11000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/audi-a3-sedan-2024-1846137|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Volkswagen Jetta 2023|autos|sedan|Volkswagen|Jetta|2023|US$ 16,990|"Gasolina|Mecánica
Kilometraje:
42,900 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina|Mecánica||42900.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/volkswagen-jetta-2023-1837361|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Mercedes Benz C-180 2016|autos|sedan|Mercedes Benz|C-180|2016|US$ 20,500|"Gasolina|Automática - Secuencial
Kilometraje:
54,000 Kms
Lima, Lima
Auto En Execlente Estado"|Gasolina|Automática|Secuencial|54000.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/mercedes-benz-c-180-2016-1848257|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Volkswagen Jetta Gli 2009|autos|sedan|Volkswagen|Jetta Gli|2009|US$ 11,500|"Gasolina|Mecánica
Kilometraje:
95,845 Kms
Lima, Lima"|Gasolina|Mecánica||95845.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/volkswagen-jetta-gli-2009-1784130|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Audi A7 Sportback 2022|autos|sedan|Audi|A7 Sportback|2022|US$ 49,900|"Gasolina-Híbrido|Automática - Secuencial
Kilometraje:
14,000 Kms
Lima, Lima
Audi A7 Sportback 55 TFSI, MY22, 340 HP"|Gasolina-Híbrido|Automática|Secuencial|14000.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/audi-a7-sportback-2022-1839677|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Subaru Legacy 2020|autos|sedan|Subaru|Legacy|2020|US$ 25,500|"Gasolina|Automática
Kilometraje:
35,550 Kms
Lima, Lima"|Gasolina|Automática||35550.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/subaru-legacy-2020-1855982|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Volkswagen Gol Sedán 2022|autos|sedan|Volkswagen|Gol Sedán|2022|US$ 11,490|"Gas GLP|Mecánica
Kilometraje:
39,039 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gas Glp|Mecánica||39039.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/volkswagen-gol-sedan-2022-1855203|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Bmw M235i Xdrive Grand Coupé 2021|autos|sedan|BMW|M235i Xdrive Grand Coupé|2021|US$ 42,500|"Gasolina|Automática - Secuencial
Kilometraje:
17,000 Kms
Lima, Lima
Solo 17mil Kilómetros | Tracción Integral XDrive | 306hp"|Gasolina|Automática|Secuencial|17000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/bmw-m235i-xdrive-grand-coupe-2021-1855304|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Maserati Ghibli 2019|autos|sedan|Maserati|Ghibli|2019|US$ 65,900|"Gasolina|Automática
Kilometraje:
10,700 Kms
Lima, Lima
Maserati Ghibli 2019"|Gasolina|Automática||10700.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/maserati-ghibli-2019-1855834|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Bmw 318i 2017|autos|sedan|BMW|318i|2017|US$ 17,900|"Gasolina|Automática - Secuencial
Kilometraje:
78,314 Kms
Lima, Lima
BMW 318i / JC UGARTE"|Gasolina|Automática|Secuencial|78314.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/bmw-318i-2017-1852574|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Bmw 330e 2023|autos|sedan|BMW|330e|2023|US$ 42,991|"Híbrido|Automática
Kilometraje:
12,317 Kms
Lima, Lima
BMW 330e Híbrido"|Híbrido|Automática||12317.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/bmw-330e-2023-1842174|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Subaru Legacy 2020|autos|sedan|Subaru|Legacy|2020|US$ 24,900|"Gasolina|Automática - Secuencial
Kilometraje:
25,366 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|25366.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/subaru-legacy-2020-1811633|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Mg Gt 2023|autos|sedan|MG|Gt|2023|US$ 15,990|"Gasolina|Automática
Kilometraje:
14,000 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina|Automática||14000.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/mg-gt-2023-1842840|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=1
Jaguar F-Type R Coupe 2016|autos|sedan|Jaguar|F-Type R Coupe|2016|US$ 72,900|"Gasolina|Automática - Secuencial
Kilometraje:
14,000 Kms
Lima, Lima
JAGUAR F- TYPE R COUPE"|Gasolina|Automática|Secuencial|14000.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/jaguar-f-type-r-coupe-2016-1825810|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=2
Mercedes Benz E 63 Amg S 2015|autos|sedan|Mercedes Benz|E 63 Amg S|2015|US$ 49,900|"Gasolina|Automática - Secuencial
Kilometraje:
64,000 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|64000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/mercedes-benz-e-63-amg-s-2015-1857092|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=2
Toyota Corolla 2021|autos|sedan|Toyota|Corolla|2021|US$ 20,500|"Híbrido|Automática - Secuencial
Kilometraje:
52,673 Kms
Lima, Lima"|Híbrido|Automática|Secuencial|52673.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/toyota-corolla-2021-1851232|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=2
Bmw 520 2020|autos|sedan|BMW|520|2020|US$ 26,900|"Gasolina|Automática
Kilometraje:
58,000 Kms
Lima, Lima
Todos Los Servicios Registrados En Inchcape"|Gasolina|Automática||58000.0|Lima, Lima|SERVICIO CONCESIONARIO|https://neoauto.com/auto/seminuevo/bmw-520-2020-1856202|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--sedan?page=2
