titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Ford F-150 2024|autos|pick-up|Ford|F-150|2024|US$ 50,990|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|Gasolina|Automática||0.0|Lima, Lima|MOTOR POTENTE|https://neoauto.com/auto/nuevo/ford-f-150-2024-1717969|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Jmc Vigus Plus Luxury 2026|autos|pick-up|JMC|Vigus Plus Luxury|2026|US$ 18,990|"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo Pick Up En JMC GM Conversiones"|Diesel|Mecánica|||Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/jmc-vigus-plus-luxury-2026-1842716|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Nissan Frontier 2025|autos|pick-up|Nissan|Frontier|2025|US$ 29,500|"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|Diesel|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/nissan-frontier-2025-1709647|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Mazda Bt-50 2025|autos|pick-up|Mazda|Bt-50|2025|US$ 30,590|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/mazda-bt-50-2025-1705782|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Jmc Jim Remax 4x4 2026|autos|pick-up|JMC|Jim Remax 4x4|2026|US$ 17,490|"Diesel|Mecánica
Lima, Lima
Rendimiento Y Confianza En Un Solo Lugar"|Diesel|Mecánica|||Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/jmc-jim-remax-4x4-2026-1842712|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Jmc Grand Avenue Comfort 2026|autos|pick-up|JMC|Grand Avenue Comfort|2026|US$ 21,490|"Diesel|Mecánica
Lima, Lima
Visítanos Y Descubre Todas Tus Opciones"|Diesel|Mecánica|||Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/jmc-grand-avenue-comfort-2026-1842718|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Jmc Jim Remax 4x4 2026|autos|pick-up|JMC|Jim Remax 4x4|2026|US$ 17,990|"Diesel|Mecánica
Lima, Lima
Potencia Y Respaldo Que Hacen La Diferencia"|Diesel|Mecánica|||Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/jmc-jim-remax-4x4-2026-1842713|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Jmc Grand Avenue 2026|autos|pick-up|JMC|Grand Avenue|2026|US$ 29,490|"Diesel|Automática
Lima, Lima
¡Tu Próximo Pick Up Te Espera, No Lo Dejes Pasar!"|Diesel|Automática|||Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/jmc-grand-avenue-2026-1842722|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Ford F-150 Raptor 2024|autos|pick-up|Ford|F-150 Raptor|2024|US$ 99,990|"Gasolina|Automática - Secuencial
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|Gasolina|Automática|Secuencial|0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/ford-f-150-raptor-2024-1747435|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Dfsk D1 2024|autos|pick-up|DFSK|D1|2024|US$ 21,490|"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|Diesel|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/dfsk-d1-2024-1827064|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Jmc Grand Avenue 2026|autos|pick-up|JMC|Grand Avenue|2026|US$ 23,990|"Diesel|Mecánica
Lima, Lima
Calidad, Eficiencia Y Atención Personalizada"|Diesel|Mecánica|||Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/jmc-grand-avenue-2026-1842721|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Ford Ranger Raptor 2024|autos|pick-up|Ford|Ranger Raptor|2024|US$ 66,990|"Gasolina|Automática - Secuencial
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|Gasolina|Automática|Secuencial|0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/ford-ranger-raptor-2024-1747433|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Ford Ranger 2025|autos|pick-up|Ford|Ranger|2025|US$ 32,990|"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|Diesel|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/ford-ranger-2025-1743708|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
Renault Oroch 2025|autos|pick-up|Renault|Oroch|2025|US$ 17,490|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/renault-oroch-2025-1705789|nuevos|https://neoauto.com/venta-de-autos-nuevos--pick-up?page=1
